gid	prop.p	prop.h	reg
Zm00001d001800	0.6296564045968007	0.602001012435298	cis
Zm00001d001848	0.4357194813893203	0.4502766633455582	cis
Zm00001d002390	0.3714976386923227	0.45534448909139796	cis+trans
Zm00001d002423	0.6819911400872865	0.5634056792596986	cis+trans
Zm00001d002617	0.5442619640737104	0.4974660259383578	trans
Zm00001d002644	0.6085137452409787	0.5335549455637366	trans
Zm00001d002853	0.484929304582922	0.3992328322238032	conserved
Zm00001d003005	0.5623690468364674	0.8202733032781974	unexpected
Zm00001d003112	0.4844462244069321	0.5463342445953576	conserved
Zm00001d003400	0.5980364973827359	0.8025417709520688	unexpected
